CAPACITY,10
EMPTY_VEHICLE_WEIGHT,8
CUSTOMERS,300
NODES INFO
ID,XCOORD,YCOORD,DEMAND
113,3,76,0.5
114,96,92,0.5
115,17,12,0.5
116,98,9,1.04
117,97,74,0.81
118,99,33,1.74
119,85,66,1.2
120,55,21,1.74
121,24,91,0.5
122,59,15,0.9
123,12,75,0.74
124,100,75,1.66
125,82,12,0.95
126,21,37,1.49
127,83,17,1.31
128,49,87,0.5
129,13,16,0.6
130,89,42,1.21
131,70,96,0.89
132,48,17,1.51
133,72,34,1.26
134,32,27,1.62
135,70,16,0.59
136,24,16,0.5
137,16,86,0.7
138,81,78,0.5
139,86,14,1.45
140,4,60,0.77
141,19,35,0.7
142,37,61,0.5
143,86,74,0.5
144,4,87,1.04
145,36,23,0.5
146,81,46,1.55
147,64,62,0.64
148,64,94,1.05
149,70,34,1.01
150,41,79,1.34
151,0,18,0.78
152,36,96,0.5
153,84,95,1.73
154,85,61,1.34
155,59,26,0.5
156,29,85,0.71
157,81,84,0.6
158,38,62,1.39
159,37,74,1.16
160,93,69,0.95
161,60,91,0.85
162,40,32,1.56
163,42,5,1.23
164,69,33,1.31
165,44,44,1.1
166,79,40,1.21
167,96,40,1.22
168,58,67,1.94
169,6,20,1.3
170,33,50,1.17
171,6,52,0.92
172,46,1,1.09
173,57,46,0.83
174,15,43,0.5
175,78,57,0.5
176,76,66,1.55
177,52,91,0.5
178,16,14,0.5
179,65,86,1.31
180,50,63,0.63
181,57,93,0.86
182,89,57,0.98
183,84,81,0.64
184,34,97,0.8
185,14,47,0.5
186,46,8,0.5
187,41,61,0.5
188,95,99,0.5
189,35,82,0.5
190,64,81,1.35
191,32,14,1.82
192,91,90,0.95
193,54,20,0.84
194,1,34,0.51
195,7,13,0.5
196,30,66,2.01
197,35,99,1.99
198,5,32,1.43
199,45,10,0.5
200,13,46,0.74
201,32,100,1.74
202,65,97,0.91
203,68,55,0.5
204,100,4,1.11
205,86,98,1.46
206,34,69,1.62
207,0,58,1.15
208,56,7,0.63
209,18,26,0.5
210,15,58,1.41
211,10,100,0.77
212,96,10,0.5
213,20,80,0.5
214,25,29,1.05
215,60,52,1.46
216,98,83,0.63
217,53,97,0.5
218,34,80,0.75
219,91,90,1.13
220,25,19,1.2
221,61,2,0.5
222,16,35,0.5
223,52,86,1.15
224,55,51,0.64
225,87,20,0.5
226,73,81,1.19
227,15,93,0.78
228,18,41,1.22
229,15,80,0.73
230,63,15,0.65
231,74,24,1.03
232,58,13,1.03
233,77,77,0.5
234,72,73,1.31
235,52,94,0.5
236,41,73,1.24
237,40,78,0.5
238,28,78,0.69
239,52,3,0.5
240,46,5,0.78
241,39,95,1.59
242,73,35,0.74
243,29,28,0.5
244,55,80,0.52
245,100,59,0.5
246,11,58,1.74
247,84,66,1.17
248,2,79,0.53
249,25,95,0.5
250,36,56,0.88
251,54,65,1.11
252,83,71,0.77
253,53,38,0.73
254,100,11,1.62
255,19,24,1.98
256,70,4,1.49
257,75,87,0.5
258,82,95,0.84
259,20,20,1.27
260,96,68,1.09
261,41,39,0.99
262,84,90,0.5
263,43,62,1.36
264,97,49,0.72
265,57,10,0.5
266,4,53,0.76
267,36,21,0.5
268,13,75,0.5
269,17,81,0.89
270,100,23,1.03
271,15,13,0.5
272,71,29,1.52
273,76,77,0.51
274,25,1,0.8
275,39,93,1.18
276,98,35,0.52
277,3,9,1.34
278,89,96,0.5
279,57,47,0.5
280,25,58,1.97
281,19,11,0.61
282,15,20,1.76
283,86,86,1.06
284,99,67,0.5
285,31,50,1.06
286,27,16,1.24
287,49,85,0.76
288,3,38,0.52
289,14,89,0.5
290,63,43,0.5
291,85,86,0.53
292,82,7,1
293,35,27,0.83
294,27,80,0.5
295,1,73,0.9
296,63,32,1.45
297,96,61,0.5
298,81,66,0.64
299,47,6,0.7
300,82,52,0.78
